grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name,School_Name,State_Name,Lea_Name,size,lea_size,st_size
ALL,604,23.2,32.0,010354,ALL,ALL,ALL,2014,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,604,23.2,32.0,010354,ALL,ALL,ALL,2013,Harvey R Newlin Elementary,Alamance-Burlington School District,Alamance,Harvey R Newlin Elementary,State Of North Carolina,Alamance-Burlington Schools,20.666666666666668,19.5,20.166666666666668
ALL,667,24.0,32.5,010357,ALL,ALL,ALL,2017,Haw River Elementary,Alamance-Burlington School District,Alamance,Haw River Elementary,State Of North Carolina,Alamance-Burlington Schools,19.166666666666668,20.5,19.666666666666668
ALL,627,22.2,31.6,010357,ALL,ALL,ALL,2016,Haw River Elementary,Alamance-Burlington School District,Alamance,Haw River Elementary,State Of North Carolina,Alamance-Burlington Schools,19.0,19.5,19.5
ALL,592,20.8,31.1,010357,ALL,ALL,ALL,2015,Haw River Elementary,Alamance-Burlington School District,Alamance,Haw River Elementary,State Of North Carolina,Alamance-Burlington Schools,18.833333333333332,20.0,19.333333333333332
ALL,592,20.8,31.1,010357,ALL,ALL,ALL,2014,Haw River Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,592,20.8,31.1,010357,ALL,ALL,ALL,2013,Haw River Elementary,Alamance-Burlington School District,Alamance,Haw River Elementary,State Of North Carolina,Alamance-Burlington Schools,19.166666666666668,19.5,20.166666666666668
ALL,769,19.4,26.8,010358,ALL,ALL,ALL,2017,Hillcrest Elementary,Alamance-Burlington School District,Alamance,Hillcrest Elementary,State Of North Carolina,Alamance-Burlington Schools,19.666666666666668,20.5,19.666666666666668
ALL,719,21.6,29.8,010358,ALL,ALL,ALL,2016,Hillcrest Elementary,Alamance-Burlington School District,Alamance,Hillcrest Elementary,State Of North Carolina,Alamance-Burlington Schools,19.666666666666668,19.5,19.5
ALL,628,28.0,40.6,010358,ALL,ALL,ALL,2015,Hillcrest Elementary,Alamance-Burlington School District,Alamance,Hillcrest Elementary,State Of North Carolina,Alamance-Burlington Schools,21.833333333333332,20.0,19.333333333333332
ALL,628,28.0,40.6,010358,ALL,ALL,ALL,2014,Hillcrest Elementary,Alamance-Burlington School District,Alamance,,,,,,
ALL,628,28.0,40.6,010358,ALL,ALL,ALL,2013,Hillcrest Elementary,Alamance-Burlington School District,Alamance,Hillcrest Elementary,State Of North Carolina,Alamance-Burlington Schools,17.833333333333332,19.5,20.166666666666668
