grade,num_tested,pct_ccr,pct_glp,school_code,subgroup,subject,type,year,school_name,district_name,County name
ALL,723,39.8,49.5,10360,ALL,ALL,ALL,2017,Hugh M Cummings High,Alamance-Burlington School District,Alamance
ALL,695,40,49.6,10360,ALL,ALL,ALL,2016,Hugh M Cummings High,Alamance-Burlington School District,Alamance
ALL,775,31.9,41.8,10360,ALL,ALL,ALL,2015,Hugh M Cummings High,Alamance-Burlington School District,Alamance
ALL,673,28.4,40.7,10360,ALL,ALL,ALL,2014,Hugh M Cummings High,Alamance-Burlington School District,Alamance
ALL,678,29.9,42.6,10360,ALL,ALL,ALL,2013,Hugh M Cummings High,Alamance-Burlington School District,Alamance
ALL,645,61.4,70.4,10362,ALL,ALL,ALL,2017,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance
ALL,593,65.4,75.2,10362,ALL,ALL,ALL,2016,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance
ALL,634,61.2,70.2,10362,ALL,ALL,ALL,2015,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance
ALL,528,62.7,72.7,10362,ALL,ALL,ALL,2014,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance
ALL,576,59.9,71,10362,ALL,ALL,ALL,2013,Marvin B Smith Elementary,Alamance-Burlington School District,Alamance
ALL,482,30.7,40.2,10364,ALL,ALL,ALL,2017,North Graham Elementary,Alamance-Burlington School District,Alamance
ALL,476,36.6,44.7,10364,ALL,ALL,ALL,2016,North Graham Elementary,Alamance-Burlington School District,Alamance
ALL,401,36.4,44.6,10364,ALL,ALL,ALL,2015,North Graham Elementary,Alamance-Burlington School District,Alamance
ALL,392,34.7,46.4,10364,ALL,ALL,ALL,2014,North Graham Elementary,Alamance-Burlington School District,Alamance
ALL,403,26.6,35.7,10364,ALL,ALL,ALL,2013,North Graham Elementary,Alamance-Burlington School District,Alamance
ALL,327,40.7,49.5,10372,ALL,ALL,ALL,2017,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance
ALL,302,48.3,55.6,10372,ALL,ALL,ALL,2016,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance
ALL,254,41.7,53.9,10372,ALL,ALL,ALL,2015,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance
ALL,254,38.2,53.5,10372,ALL,ALL,ALL,2014,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance
ALL,272,28.7,40.4,10372,ALL,ALL,ALL,2013,Pleasant Grove Elementary,Alamance-Burlington School District,Alamance
ALL,692,29.9,40.2,10374,ALL,ALL,ALL,2017,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance
ALL,682,33.9,42.2,10374,ALL,ALL,ALL,2016,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance
ALL,666,33.9,42,10374,ALL,ALL,ALL,2015,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance
ALL,625,26.4,37.4,10374,ALL,ALL,ALL,2014,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance
ALL,654,27.8,40.1,10374,ALL,ALL,ALL,2013,R Homer Andrews Elementary,Alamance-Burlington School District,Alamance
ALL,148,5,6.8,10378,ALL,ALL,ALL,2017,Ray Street Academy,Alamance-Burlington School District,Alamance
ALL,172,6.4,11.6,10378,ALL,ALL,ALL,2016,Ray Street Academy,Alamance-Burlington School District,Alamance
ALL,156,8.3,12.2,10378,ALL,ALL,ALL,2015,Ray Street Academy,Alamance-Burlington School District,Alamance
ALL,163,5,10.4,10378,ALL,ALL,ALL,2014,Ray Street Academy,Alamance-Burlington School District,Alamance
ALL,189,5.8,9,10378,ALL,ALL,ALL,2013,Ray Street Academy,Alamance-Burlington School District,Alamance
ALL,668,30.5,38.8,10380,ALL,ALL,ALL,2017,South Graham Elementary,Alamance-Burlington School District,Alamance
ALL,637,24.8,34.9,10380,ALL,ALL,ALL,2016,South Graham Elementary,Alamance-Burlington School District,Alamance
ALL,669,33.2,43.3,10380,ALL,ALL,ALL,2015,South Graham Elementary,Alamance-Burlington School District,Alamance
ALL,611,24.2,36.2,10380,ALL,ALL,ALL,2014,South Graham Elementary,Alamance-Burlington School District,Alamance
ALL,655,26.3,38.8,10380,ALL,ALL,ALL,2013,South Graham Elementary,Alamance-Burlington School District,Alamance
ALL,782,60.2,67.9,10384,ALL,ALL,ALL,2017,South Mebane Elementary,Alamance-Burlington School District,Alamance
ALL,757,57.5,66.3,10384,ALL,ALL,ALL,2016,South Mebane Elementary,Alamance-Burlington School District,Alamance
ALL,750,63.1,71.6,10384,ALL,ALL,ALL,2015,South Mebane Elementary,Alamance-Burlington School District,Alamance
