district_name	City 	County name
Sampson County School District 	Clinton 	Sampson
Sandhills Theatre Arts Renaiss School District 	Vass 	Moore
Scotland County School District 	Laurinburg 	Scotland
Socrates Academy School District 	Matthews 	Mecklenburg
South Brunswick Charter School District 	Southport 	Brunswick
Southeastern Academy School District 	Lumberton 	Robeson
Southern Wake Academy School District 	Holly Springs 	Wake
Stanly County School District 	Albemarle 	Stanly
Stem Education For A Global Society Acad School District 	Delco 	Columbus
Sterling Montessori Academy School District 	Morrisville 	Wake
Stewart Creek High School District 	Charlotte 	Mecklenburg
Stokes County School District 	Danbury 	Stokes
Studentfirst Academy School District 	Charlotte 	Mecklenburg
Success Charter School District 	Statesville 	Iredell
Sugar Creek Charter School District 	Charlotte 	Mecklenburg
Summerfield Charter Academy School District 	Summerfield 	Guilford
Summit Charter School District 	Cashiers 	Jackson
Surry County School District 	Dobson 	Surry
Swain County School District 	Bryson City 	Swain
The Academy Of Moore County 	Aberdeen 	Moore
The Capitol Encore Academy School District 	Fayetteville 	Cumberland
The College Preparatory And Leadership A School District 	Greensboro 	Guilford
The Expedition School District 	Hillsborough 	Orange
The Franklin School Of Innovation School District 	Asheville 	Buncombe
The Hawbridge School District 	Saxapahaw 	Alamance
The Institute For The Development Of You School District 	Durham 	Durham
The Learning Center School District 	Murphy 	Cherokee
The Mountain Community School District 	Hendersonville 	Henderson
The New Dimensions School District 	Morganton 	Burke
The Steam Academy Of Winston Salem School District 	Winston-Salem 	Forsyth
Thomas Jefferson Classical Academy School District 	Mooresboro 	Rutherford
Thomasville City School District 	Thomasville 	Davidson
Thunderbird Preparatory School District 	Cornelius 	Mecklenburg
Tiller School District 	Beaufort 	Carteret
Torchlight Academy School District 	Raleigh 	Wake
Transylvania County School District 	Brevard 	Transylvania
Triad Math And Science Academy School District 	Greensboro 	Guilford
Triangle Math And Science Academy School District 	Raleigh 	Wake
Two Rivers Community School District 	Boone 	Watauga
Tyrrell County School District 	Columbia 	Tyrrell
Union Academy Charter School District 	Monroe 	Union
Union County Public School District 	Monroe 	Union
United Community School District 	Charlotte 	Mecklenburg
Uwharrie Charter Academy School District 	Asheboro 	Randolph
Vance Charter School District 	Henderson 	Vance
Vance County School District 	Henderson 	Vance
Voyager Academy School District 	Durham 	Durham
Wake County School District 	Cary 	Wake
Wake Forest Charter Academy School District 	Wake Forest 	Wake
Warren County School District 	Warrenton 	Warren
