school_code	grade_span	school_name
620310	06-12	Montgomery Learning Academy
620312	PK-05	Candor Elementary
620314	06-08	East Middle
620316	09-12	East Montgomery High
620318	PK-05	Green Ridge Elementary
620324	PK-05	Mount Gilead Elementary
620330	03-05	Page Street Elementary
620334	PK-05	Star Elementary
620339	06-08	West Middle
620340	09-12	West Montgomery High
620LEA		Montgomery County Schools
630308	03-05	Aberdeen Elementary
630312	0K-05	Cameron Elementary
630316	PK-05	Carthage Elementary
630317	06-08	Crain's Creek Middle
630320	06-08	Elise Middle
630324	0K-05	Sandhills Farm Life Elementary
630328	0K-08	Highfalls Elementary
630330	06-12	Pinckney Academy
630331	06-08	New Century Middle
630332	09-12	North Moore High
630336	09-12	Pinecrest High
630342	0K-05	Pinehurst Elementary
630348	PK-05	Robbins Elementary
630350	06-08	Southern Middle
630356	03-05	Southern Pines Elementary
630360	09-12	Union Pines High
630364	PK-05	Vass-Lakeview Elementary
630368	PK-05	West End Elementary
630373	0K-05	West Pine Elementary
630374	06-08	West Pine Middle
630376	0K-08	Westmoore Elementary
630LEA		Moore County Schools
63A000	0K-05	The Academy of Moore County
63B000	0K-08	Sandhills Theatre Arts Renaiss
640304	PK-05	Bailey Elementary
640306	0K-05	Baskerville Elementary
640308	0K-05	Benvenue Elementary
640316	PK-05	Cedar Grove Elementary
640320	06-08	Nash Central Middle
640324	PK-05	Coopers Elementary
640326	PK-05	D S Johnson Elementary
640328	03-05	Englewood Elementary
640329	06-08	G R Edwards Middle
640332	0K-05	M B Hubbard Elementary
640334	06-08	J W Parker Middle
640336	PK-05	Middlesex Elementary
640340	06-12	Tar River Academy
640346	09-12	Nash Central High
640347	09-13	NRM Early College High School
640348	PK-05	Nashville Elementary
640350	09-12	Northern Nash High
640354	0K-05	O R Pope Elementary
640358	06-08	Red Oak Middle
640361	09-12	Rocky Mount High
640362	06-08	Southern Nash Middle
640364	09-12	Southern Nash High
640376	PK-05	Spring Hope Elementary
640384	PK-05	Swift Creek Elementary
640396	0K-05	Williford Elementary
640LEA		Nash-Rocky Mount Schools
64A000	0K-12	Rocky Mount Preparatory
650304	0K-05	Bradley Creek Elementary
650308	PK-05	Carolina Beach Elementary
650309	PK-05	Castle Hayne Elementary
650310	06-08	Charles P Murray Middle
650312	PK-05	R Freeman Sch of Engineering
650316	0K-05	College Park Elementary
650323	0K-05	Edwin A Anderson Elementary
650324	0K-05	Edwin A Alderman Elementary
650325	06-08	Emma B Trask Middle
650326	09-12	Emsley A Laney High
650327	09-12	Eugene Ashley High
650328	PK-05	Forest Hills Global Elementary
650332	0K-05	Gregory School of Math, Science, and Tec
650338	PK-05	Heyward C Bellamy Elem
650339	0K-05	Holly Tree Elementary
650340	09-12	Isaac M Bear High
650341	0K-05	John J Blair Elementary
650342	09-12	John T Hoggard High
650343	06-08	Holly Shelter Middle
650345	0K-08	Lake Forest Academy
650346	PK-05	Mary C Williams Elementary
650348	PK-05	Murrayville Elementary
650350	06-08	M C S Noble Middle
650351	06-08	Myrtle Grove Middle
650352	09-12	New Hanover High
650353	PK-05	Dr Hubert Eaton Sr Elem
650354	06-12	Lakeside
650355	09-12	Mary Sidberry Mosley PLC
650356	PK-05	Ogden Elementary
650362	0K-05	Pine Valley Elementary
650364	06-08	Roland-Grise Middle
650366	0K-05	Dr John Codington Elem
650368	0K-05	Sunset Park Elementary
650380	PK-05	Walter L Parsley Elementary
650384	PK-05	A H Snipes Academy of Arts/Des
650392	06-08	Williston Middle
650394	09-13	Wilmington Early College High
650400	0K-05	Winter Park Model Elementary
650404	PK-05	Wrightsboro Elementary
650408	0K-05	Wrightsville Beach Elem
650409	06-06	D.C. Virgo Preparatory Academy
650LEA		New Hanover County Schools
65A000	0K-08	Cape Fear Center for Inquiry
65B000	0K-08	Wilmington Preparatory Academy
660306	PK-04	Central Elementary
660308	05-08	Conway Middle
660320	01-04	Gaston Elementary
660325	05-08	Gaston Middle
660334	0K-12	Northampton County Alternative School
660336	09-12	Northampton County High School
660360	PK-04	Willis Hare Elementary
660LEA		Northampton County Schools
66A000	0K-12	Gaston College Preparatory
670304	0K-05	Bell Fork Elementary
670308	0K-05	Blue Creek Elementary
670310	0K-05	Carolina Forest Elementary
670312	0K-05	Clyde Erwin Elementary
670314	PK-05	Dixon Elementary
670318	06-08	Dixon Middle
670320	09-12	Dixon High
670321	PK-05	Hunters Creek Elementary
670322	06-08	Hunters Creek Middle
670323	0K-05	Jacksonville Commons Elem
670324	09-12	Jacksonville High
670325	06-08	Jacksonville Commons Middle
670329	0K-05	Meadow View Elementary
670330	PK-05	Morton Elementary
670331	06-08	New Bridge Middle
670332	0K-05	Northwoods Elementary
670333	09-12	Northside High
670335	PK-05	Queens Creek Elementary
670336	06-08	Northwoods Park Middle
670338	0K-05	Parkwood Elementary
670339	03-05	Richlands Elementary
670340	09-12	Richlands High
670341	0K-05	Sand Ridge Elementary
670342	0K-05	Silverdale Elementary
670343	PK-05	Southwest Elementary
670344	09-12	Southwest High
670345	06-08	Southwest Middle
670346	PK-05	Summersill Elementary
670347	0K-05	Stateside Elementary
670350	0K-05	Swansboro Elementary
670351	06-08	Swansboro Middle
670352	09-12	Swansboro High
670356	06-08	Trexler Middle
670364	09-12	White Oak High
670LEA		Onslow County Schools
680304	06-08	A L Stanback Middle
680308	0K-05	Cameron Park Elementary
680310	09-12	Cedar Ridge High
680312	PK-05	Central Elementary
680316	06-08	Charles W Stanford Middle
680324	PK-05	Efland Cheeks Elementary
680327	06-08	Gravelly Hill Middle
680328	PK-05	Grady Brown Elementary
680329	0K-05	Hillsborough Elementary
680330	PK-05	New Hope Elementary
680332	09-12	Orange High
680335	06-12	Partnership Academy
680336	PK-05	Pathways Elementary
680LEA		Orange County Schools
681304	PK-05	Carrboro Elementary
681305	09-12	Carrboro High
681308	09-12	Chapel Hill High
681309	06-08	McDougle Middle
681310	PK-05	Seawell Elementary
681311	PK-05	Ephesus Elementary
681312	0K-05	Estes Hills Elementary
681314	09-12	East Chapel Hill High
681316	PK-05	Frank Porter Graham Elem
681320	PK-05	Glenwood Elementary
681322	06-08	Culbreth Middle
681324	06-08	Phillips Middle
681326	PK-05	McDougle Elementary
681328	SP-ED	UNC Hospital School
681330	PK-05	Scroggs Elementary
681332	PK-05	Morris Grove Elementary
681334	PK-05	Rashkis Elementary
681336	06-08	Smith Middle
681338	08-12	Phoenix Academy High
681LEA		Chapel Hill-Carrboro City Schools
68A000	0K-08	Orange Charter
68N000	09-12	PACE Academy
690312	03-05	Fred A Anderson Elementary
690316	06-08	Pamlico County Middle
690320	09-12	Pamlico County High
690LEA		Pamlico County Schools
69A000	0K-09	Arapahoe Charter School
700306	0K-05	Central Elementary
700308	06-08	Elizabeth City Middle
700310	06-12	H L Trigg Community
700314	0K-05	Northside Elementary
700316	0K-05	J C Sawyer Elementary
700317	09-12	Northeastern High
700318	0K-05	Pasquotank Elementary
700319	09-12	Pasquotank County High
700320	0K-05	P W Moore Elementary
700322	06-08	River Road Middle
700324	PK-05	Sheep-Harney Elementary
700328	0K-05	Weeksville Elementary
700LEA		Elizabeth City-Pasquotank Public Schools
710312	PK-05	Burgaw Elementary
710316	06-08	Burgaw Middle
710318	03-05	Cape Fear Elementary
710320	06-08	Cape Fear Middle
710321	09-12	Heide Trask High
710323	PK-05	North Topsail Elementary
710324	PK-05	Malpass Corner Elementary
710326	PK-12	Pender High
710327	09-13	Pender Early College High
710328	0K-08	Penderlea Elementary
710342	09-12	Topsail High
710344	PK-06	Topsail Elementary
710346	06-08	Topsail Middle
710347	PK-05	South Topsail Elementary
710348	06-08	West Pender Middle
710LEA		Pender County Schools
720312	03-05	Hertford Grammar
720316	09-12	Perquimans County High
720320	06-08	Perquimans County Middle
720LEA		Perquimans County Schools
730332	0K-05	Helena Elementary
730334	0K-05	North Elementary
730340	0K-05	North End Elementary
730344	06-08	Northern Middle
730348	0K-05	Oak Lane Elementary
730352	09-12	Person High
730354	0K-05	Stories Creek Elementary
730356	PK-05	South Elementary
730360	06-08	Southern Middle
730368	0K-05	Woodland Elementary
730LEA		Person County Schools
73A000	0K-06	Bethel Hill Charter
73B000	06-12	Roxboro Community School
740302	06-08	A G Cox Middle
740304	PK-05	Ayden Elementary
740308	06-08	Ayden Middle
740309	09-12	Ayden-Grifton High
740310	PK-05	Belvoir Elementary
740320	PK-08	Bethel Elementary
740324	06-08	C M Eppes Middle
740330	PK-05	Creekside Elementary
740332	PK-08	Chicod
740333	09-12	D H Conley High
740334	0K-05	Falkland Elementary
740336	0K-05	Eastern Elementary
740337	06-08	E B Aycock Middle
740338	0K-05	Elmhurst Elementary
740340	06-08	Farmville Middle
740344	09-12	Farmville Central High
740352	PK-08	Grifton
740358	PK-08	G R Whitfield
740362	06-08	Hope Middle
740366	09-12	Junius H Rose High
740368	PK-05	Lakeforest Elementary
740374	09-12	North Pitt High
740375	PK-05	Northwest Elementary
740376	PK-08	Pactolus
740378	SP-ED	Pitt Memorial Hospital
740379	0K-05	Ridgewood Elementary
740380	PK-05	W H Robinson Elementary
740386	03-05	Sam D Bundy Elementary
740388	09-12	South Central High
740390	0K-05	South Greenville Elementary
740396	PK-08	Stokes
740400	0K-05	Wahl Coates Elementary
740402	06-08	Wellcome Middle
740404	03-05	Wintergreen Intermediate
740LEA		Pitt County Schools
750304	PK-05	Tryon Elementary
750314	PK-05	Polk Central
750317	09-13	Polk County Early College
750318	09-12	Polk County High
750319	06-08	Polk County Middle
750320	PK-05	Saluda Elementary
750328	PK-05	Sunny View Elementary
750LEA		Polk County Schools
760304	0K-05	Archdale Elementary
760308	06-06	Braxton Craven Middle
760316	0K-05	Coleridge Elementary
760318	09-12	Eastern Randolph High
760320	0K-05	Farmer Elementary
760324	0K-05	Franklinville Elementary
760328	0K-05	Grays Chapel Elementary
760329	0K-05	Hopewell Elementary
760330	0K-05	John R Lawrence Elementary
760331	PK-05	Level Cross Elementary
760332	PK-05	Liberty Elementary
760336	0K-05	New Market Elementary
760338	06-08	Northeastern Randolph Middle
760339	09-12	Providence Grove High
760340	PK-05	Ramseur Elementary
760344	0K-05	Randleman Elementary
760348	09-12	Randleman High
760352	06-08	Randleman Middle
760354	09-13	Randolph Early College High
760356	0K-05	Seagrove Elementary
760357	06-08	Southeastern Randolph Middle
760358	09-12	Southwestern Randolph High
760359	PK-05	Southmont Elementary
760360	06-08	Southwestern Randolph Middle
760364	PK-05	Tabernacle Elementary
760368	PK-05	Trindale Elementary
760376	0K-05	Trinity Elementary
760378	07-08	Archdale-Trinity Middle
760380	09-12	Trinity High
760382	06-08	Uwharrie Middle
760388	09-12	Wheatmore High
760LEA		Randolph County Schools
761304	09-12	Asheboro High
761308	06-08	South Asheboro Middle
761312	0K-05	Balfour Elementary
761320	PK-05	Charles W McCrary Elementary
761321	PK-05	Donna L Loflin Elementary
761328	PK-05	Guy B Teachey Elementary
761332	0K-05	Lindley Park Elementary
761336	06-08	North Asheboro Middle
761LEA		Asheboro City Schools
770310	PK-05	East Rockingham Elementary
770312	PK-12	Cordova School
770316	06-08	Ellerbe Middle
770318	PK-05	Fairview Heights Elementary
770328	06-08	Hamlet Middle
770340	PK-05	L J Bell Elementary
770342	07-12	Leak Street High
770344	PK-05	Mineral Springs Elementary
770346	PK-05	Monroe Avenue Elementary
770348	10-12	Richmond Senior High
770349	09-13	Richmond Early College High
770351	09-09	Richmond 9th Grade Academy
770352	09-12	Richmond Co Transitional
770360	06-08	Rockingham Middle
770364	06-08	Rohanen Middle
770368	PK-05	West Rockingham Elementary
770370	PK-05	Washington Street Elementary
770LEA		Richmond County Schools
780320	PK-06	Deep Branch Elementary
780322	PK-03	East Robeson Primary
780324	04-08	Fairgrove Middle
780325	09-12	Fairmont High
780326	05-08	Fairmont Middle
780328	PK-03	Green Grove Elementary
780329	PK-04	Janie C Hargrave Elem
780330	05-06	L Gilbert Carroll Middle
780336	04-08	Littlefield Middle
780340	PK-04	Long Branch Elementary
780341	07-08	Lumberton Junior High
780342	09-12	Lumberton Senior High
780344	PK-08	Magnolia Elementary
780352	05-08	Orrum Middle
780356	PK-06	Oxendine Elementary
780360	PK-08	Parkton Elementary
780364	PK-05	Pembroke Elementary
780368	06-08	Pembroke Middle
780374	PK-04	Peterson Elementary
780376	PK-06	Piney Grove Elementary
780384	PK-08	Prospect Elementary
780385	09-13	PSRC Early College at RCC
780390	PK-04	R B Dean Elementary
780391	09-12	Red Springs High
780392	PK-05	Rex-Rennert Elementary
780393	05-08	Red Springs Middle
780394	PK-04	Rosenwald Elementary
780396	06-08	Rowland Middle
780398	PK-04	Rowland Norment Elementary
780400	PK-05	Saint Pauls Elementary
780401	09-12	Saint Pauls High
780402	09-12	South Robeson High
780403	06-08	Saint Pauls Middle
780407	0K-04	Tanglewood Elementary
780408	PK-05	Southside/Ashpole Elem
780410	05-08	Townsend Middle
780412	PK-06	Union Chapel Elementary
780416	PK-06	Union Elementary
780417	PK-04	W H Knuckles
780418	PK-04	West Lumberton Elementary
780420	09-12	Purnell Swett High
780LEA		Public Schools of Robeson County
78A000	06-08	CIS Academy
790302	PK-05	Bethany Elementary
790310	0K-05	Central Elementary
790314	09-12	Dalton McMichael High
790318	PK-05	Douglass Elementary
790322	PK-05	Draper Elementary
790327	PK-05	Huntsville Elementary
790330	06-08	J E Holmes Middle
790334	PK-05	John W Dillard Elementary
790338	PK-05	Lawsonville Ave Elem
790344	PK-05	Leaksville-Spray Elementary
790347	PK-05	Lincoln Elementary
790350	PK-05	Monroeton Elementary
790354	09-12	John M Morehead High
790358	PK-05	Moss Street Elementary
790362	0K-05	New Vision Sch.of Math/Sci/Tec
790366	09-12	Reidsville High
790374	06-08	Reidsville Middle
790378	09-12	Rockingham County High
790379	09-13	Rockingham Co Early College High
790380	06-08	Rockingham County Middle
790386	PK-05	South End Elementary
790390	PK-05	Stoneville Elementary
790392	0K-12	The SCORE Center
790394	06-08	Western Rockingham Middle
790398	PK-05	Wentworth Elementary
790402	PK-05	Williamsburg Elementary
790LEA		Rockingham County Schools
79A000	06-08	Bethany Community Middle
800308	08-12	Henderson High
800312	0K-05	Bostian Elementary
800314	06-08	Erwin Middle
800315	0K-05	Overton Elementary
800316	PK-05	China Grove Elementary
800320	06-08	China Grove Middle
800324	0K-05	Cleveland Elementary
800328	06-08	Corriher Lipe Middle
800340	09-12	East Rowan High
800346	0K-05	Koontz Elementary
800347	PK-05	Shive Elementary
800348	0K-05	Enochville Elementary
800352	0K-05	Faith Elementary
800356	PK-05	Granite Quarry Elementary
800358	PK-05	Isenberg Elementary
800359	PK-05	Dole Elementary
800360	0K-05	Hurley Elementary
800361	09-12	Carson High
800362	0K-05	Knollwood Elementary
800363	06-08	Knox Middle
800364	PK-05	Landis Elementary
800366	PK-05	Millbridge Elementary
800368	PK-05	Morgan Elementary
800372	0K-05	Mt Ulla Elementary
800373	PK-05	North Rowan Elementary
800376	09-12	North Rowan High
800377	06-08	North Rowan Middle
800392	PK-05	Rockwell Elementary
800394	09-12	Rowan Co Early College
800396	09-12	Salisbury High
800398	06-08	Southeast Middle
800400	09-12	South Rowan High
800408	09-12	West Rowan High
800410	06-08	West Rowan Middle
800412	PK-05	Woodleaf Elementary
800LEA		Rowan-Salisbury Schools
810324	09-12	Chase High
810326	06-08	Chase Middle
810328	0K-05	Cliffside Elementary
810336	PK-05	Forest City-Dunbar Elementary
810340	09-12	East Rutherford High
810342	06-08	East Rutherford Middle
810344	PK-05	Ellenboro Elementary
810350	PK-05	Forrest W Hunt Elementary
810360	PK-05	Harris Elementary
810364	PK-05	Mt Vernon-Ruth Elementary
810370	PK-05	Pinnacle Elementary
810378	06-08	R-S Middle
810384	09-12	R-S Central High
810385	09-13	Rutherford Early College High
810386	06-12	Rutherford Opportunity Center
810388	PK-05	Rutherfordton Elementary
810396	PK-05	Spindale Elementary
810400	PK-05	Sunshine Elementary
810LEA		Rutherford County Schools
81A000	0K-12	Thomas Jefferson Class Academy
81B000	0K-09	Lake Lure Classical Academy
820312	PK-05	Roseboro Elementary
820320	PK-05	Clement Elementary
820324	09-13	Sampson Early College High
820340	PK-05	Hargrove Elementary
820346	PK-05	Hobbton Elementary
820347	06-08	Hobbton Middle
820348	09-12	Hobbton High
820349	09-12	Lakewood High
820350	PK-05	Midway Elementary
820352	09-12	Midway High
820354	06-08	Midway Middle
820364	0K-05	Plain View Elementary
820370	06-08	Union Middle
820372	06-08	Roseboro-Salemburg Middle
820376	PK-05	Salemburg Elementary
820384	PK-03	Union Elementary
820385	04-05	Union Intermediate
820388	09-12	Union High
820LEA		Sampson County Schools
821304	02-03	Butler Avenue Elementary
821308	09-12	Clinton High
821320	06-08	Sampson Middle
821330	04-05	Sunset Avenue Elementary
821LEA		Clinton City Schools
830304	06-08	Carver Middle
830312	0K-05	Covington Street Elementary
830316	06-12	Shaw Academy
830320	PK-05	I E Johnson Elementary
830328	PK-05	Laurel Hill Elementary
830336	PK-05	North Laurinburg Elementary
830343	09-12	Scotland High School
830344	0K-05	Pate-Gardner Elementary
830348	09-13	Scotland Early College High
830349	06-08	Spring Hill Middle
830350	06-08	Sycamore Lane Middle
830356	PK-05	South Scotland Elementary
830360	PK-05	Wagram Elementary
830364	PK-05	Washington Park Elementary
830LEA		Scotland County Schools
840302	09-12	Albemarle High
840303	06-08	Albemarle Middle
840304	PK-05	Aquadale Elementary
840308	0K-05	Badin Elementary
840310	0K-05	Central Elementary
840312	0K-05	Endy Elementary
840316	0K-05	East Albemarle Elementary
840320	0K-05	Locust Elementary
840324	PK-05	Millingport Elementary
840328	06-08	North Stanly Middle
840332	09-12	North Stanly High
840336	0K-05	Norwood Elementary
840340	PK-05	Oakboro Elementary
840344	0K-05	Richfield Elementary
840350	06-08	West Stanly Middle School
840356	09-12	South Stanly High
840358	06-08	South Stanly Middle
840360	PK-05	Stanfield Elementary
840361	09-13	Stanly Early College High
840368	09-12	West Stanly High
840370	09-12	Stanly Academy Learning Center
840LEA		Stanly County Schools
84B000	09-12	Gray Stone Day
850304	06-08	Chestnut Grove Middle
850308	0K-05	Francisco Elementary
850312	0K-05	Germanton Elementary
850314	0K-05	Mount Olive Elementary
850316	PK-05	King Elementary
850320	PK-05	Lawsonville Elementary
850324	06-12	Meadowbrook Academy
850328	0K-05	Nancy Reynolds Elementary
850332	09-12	North Stokes High
850336	PK-05	Pine Hall Elementary
850338	06-08	Piney Grove Middle
850340	PK-05	Pinnacle Elementary
850342	0K-05	Poplar Springs Elementary
850348	0K-05	Sandy Ridge Elementary
850350	06-08	Southeastern Stokes Middle
850352	09-12	South Stokes High
850354	PK-05	London Elementary
850356	PK-05	Walnut Cove Elementary
850358	09-12	West Stokes High
850360	09-12	Stokes Early College High
850LEA		Stokes County Schools
860302	PK-05	Cedar Ridge Elementary
860306	06-08	Central Middle
860308	PK-05	Copeland Elementary
860312	PK-05	Dobson Elementary
860316	09-12	East Surry High
860320	PK-05	Flat Rock Elementary
860324	PK-05	Franklin Elementary
860326	06-08	J Sam Gentry Middle
860330	06-08	Meadowview Middle
860332	PK-05	Mountain Park Elementary
860336	09-12	North Surry High
860339	PK-05	Pilot Mountain Elementary
860340	06-08	Pilot Mountain Middle
860344	PK-05	Rockford Elementary
860348	PK-05	Shoals Elementary
860352	09-12	Surry Central High
860354	09-13	Surry Early College HS Design
860356	PK-05	Westfield Elementary
860360	PK-05	White Plains Elementary
860LEA		Surry County Schools
861304	PK-06	Elkin Elementary
861308	09-12	Elkin High
861312	07-08	Elkin Middle
861LEA		Elkin City Schools
862310	03-05	Jones Elementary
862312	09-12	Mount Airy High
862316	06-08	Mount Airy Middle
862LEA		Mount Airy City Schools
86T000	0K-08	Millennium Charter Academy
870314	09-12	Swain County High
870318	PK-08	Swain County Middle
870320	0K-05	Swain Co East Elementary
870324	0K-05	Swain Co West Elementary
870LEA		Swain County Schools
87A000	0K-08	Mountain Discovery Charter
880304	PK-05	Brevard Elementary
880308	09-12	Brevard High
880312	06-08	Brevard Middle
880318	0K-05	Pisgah Forest Elementary
880320	06-12	Davidson River School
880324	PK-05	Rosman Elementary
880328	09-12	Rosman High
880330	06-08	Rosman Middle
880336	0K-05	T C Henderson Elementary
880LEA		Transylvania County Schools
88A000	0K-08	Brevard Academy
890304	09-13	Columbia High
890306	06-08	Columbia Middle
890308	PK-05	Tyrrell Elementary
890LEA		Tyrrell County Schools
900302	0K-05	Antioch Elementary
900303	0K-05	Rea View Elementary
900304	PK-05	Benton Heights Elementary
900305	PK-05	New Town Elementary
900306	PK-05	East Elementary
900307	PK-05	Rocky River Elementary
900308	06-08	East Union Middle
900310	06-08	Cuthbertson Middle
900311	09-12	Cuthbertson High
900312	PK-05	Fairview Elementary
900314	06-08	Monroe Middle
900316	09-12	Forest Hills High
900318	PK-05	Hemby Bridge Elementary
900320	PK-05	Indian Trail Elementary
900328	0K-05	Kensington Elementary
900332	PK-05	Marshville Elementary
900334	PK-05	Marvin Elementary
900336	09-12	Monroe High
900340	0K-05	New Salem Elementary
900341	PK-05	Porter Ridge Elementary
900342	09-12	Porter Ridge High School
900343	06-08	Porter Ridge Middle School
900344	09-12	Parkwood High
900346	06-08	Parkwood Middle
900347	0K-05	Poplin Elementary
900348	09-12	Piedmont High
900350	06-08	Piedmont Middle
900351	PK-05	Rock Rest Elementary
900352	0K-05	Prospect Elementary
900353	0K-05	Sandy Ridge Elementary
900354	PK-05	Sardis Elementary
900356	PK-05	Shiloh Elementary
900358	0K-05	Stallings Elementary
900360	09-12	Sun Valley High
900362	06-08	Sun Valley Middle
900363	PK-05	Sun Valley Elementary
900364	PK-05	Union Elementary
900365	06-12	South Providence
900366	09-12	Central Academy of Technology
900367	09-13	Union County Early College
900368	PK-05	Unionville Elementary
900370	PK-05	Walter Bickett Elementary
900372	PK-05	Waxhaw Elementary
900376	PK-05	Weddington Elementary
900377	09-12	Weddington High
900378	06-08	Weddington Middle
900380	0K-05	Wesley Chapel Elementary
900384	0K-05	Western Union Elementary
900388	PK-05	Wingate Elementary
900391	06-08	Marvin Ridge Middle
900392	04-12	Wolfe School
900393	09-12	Marvin Ridge High
900LEA		Union County Public Schools
90A000	0K-12	Union Academy
910304	PK-05	Aycock Elementary
910308	PK-05	Carver Elementary
910311	PK-05	Clarke Elementary
910314	PK-05	Dabney Elementary
910316	06-08	Eaton-Johnson Middle
910320	06-08	Henderson Middle
910340	PK-05	New Hope Elementary
910346	PK-05	E O Young Jr Elementary
910356	PK-05	Pinkston Street Elementary
910360	PK-05	E M Rollins Elementary
910364	09-12	Southern Vance High
910368	09-12	Western Vance High
910370	09-12	Northern Vance High
910376	PK-05	L B Yancey Elementary
910380	PK-05	Zeb Vance Elementary
910382	09-13	Vance Co Early College
910LEA		Vance County Schools
91A000	0K-08	Vance Charter School
91B000	04-06	Henderson Collegiate
920302	PK-05	River Bend Elementary
920304	PK-05	Adams Elementary
920306	0K-05	Herbert Akins Rd Elementary
920307	0K-05	Alston Ridge Elementary
920308	0K-05	Apex Elementary
920312	06-08	Apex Middle
920316	09-12	Apex High
920318	09-12	Athens Drive High
920320	0K-05	Aversboro Elementary
920324	06-12	Longview
920325	0K-05	Banks Rd Elementary
920326	0K-05	Baileywick Road Elementary
920327	0K-05	Ballentine Elementary
920328	0K-05	Baucom Elementary
920329	0K-05	Barwell Road Elementary
920334	0K-05	Brassfield Elementary
920336	0K-05	Brentwood Elementary
920340	0K-05	Briarcliff Elementary
920342	0K-05	Brier Creek Elementary
920344	0K-05	Brooks Elementary
920348	09-12	Needham Broughton High
920352	0K-05	Bugg Elementary
920356	06-08	Carnage Middle
920358	0K-05	Carpenter Elementary
920360	06-08	Carroll Middle
920362	PK-05	Carver Elementary
920364	0K-05	Cary Elementary
920368	09-12	Cary High
920369	0K-05	Cedar Fork Elementary
920370	06-08	Centennial Campus Middle
920376	0K-05	Combs Elementary
920380	0K-05	Conn Elementary
920384	0K-05	Creech Road Elementary
920388	06-08	Daniels Middle
920390	0K-05	Davis Drive Elementary
920391	06-08	Davis Drive Middle
920393	0K-05	Dillard Drive Elementary
920394	06-08	Dillard Drive Middle
920396	0K-05	Douglas Elementary
920398	0K-05	Durant Road Elementary
920399	06-08	Durant Road Middle
920400	06-08	Reedy Creek Middle
920402	06-08	East Cary Middle
920403	0K-05	East Garner Elementary
920404	06-08	East Garner Middle
920408	06-08	East Millbrook Middle
920410	06-08	East Wake Middle
920412	09-12	William G Enloe High
920413	0K-05	Forestville Road Elementary
920414	0K-05	Farmington Woods Elementary
920415	0K-05	Fox Road Elementary
920416	0K-05	Fuller Elementary
920417	0K-05	Forest Pines Elementary
920420	0K-05	Fuquay-Varina Elementary
920424	06-08	Fuquay-Varina Middle
920428	09-12	Fuquay-Varina High
920436	09-12	Garner High
920438	06-08	River Oaks Middle
920439	0K-05	Green Hope Elementary
920440	0K-05	Green Elementary
920441	09-12	Green Hope High
920442	0K-06	Hilburn Drive Academy
920443	0K-05	Highcroft Elementary
920444	06-08	Heritage Middle
920445	09-12	Heritage High
920446	0K-05	Hodge Road Elementary
920447	0K-05	Holly Springs Elementary
920448	0K-05	Hunter Elementary
920449	0K-05	Holly Ridge Elementary
920450	06-08	Holly Ridge Middle
920451	0K-05	Harris Creek Elementary
920452	0K-05	Jeffreys Grove Elementary
920453	0K-05	Jones Dairy Elementary
920454	0K-05	Heritage Elementary
920455	09-12	Holly Springs High
920456	0K-05	Joyner Elementary
920457	0K-05	Holly Grove Elementary
920458	06-08	Holly Grove Middle
920460	0K-05	Kingswood Elementary
920464	0K-05	Knightdale Elementary
920466	09-12	Knightdale High
920467	0K-05	Laurel Park Elementary
920468	0K-05	Lacy Elementary
920469	0K-05	Leesville Road Elementary
920470	0K-05	Lead Mine Elementary
920471	06-08	Leesville Road Middle
920472	06-08	Ligon Middle
920473	09-12	Leesville Road High
920474	0K-05	Lake Myra Elementary
920476	0K-05	Lincoln Heights Elementary
920480	0K-05	Lockhart Elementary
920484	06-08	Lufkin Road Middle
920488	0K-05	Lynn Road Elementary
920492	06-08	Martin Middle
920494	0K-05	Middle Creek Elementary
920495	09-12	Middle Creek High
920496	PK-05	Millbrook Elementary
920500	09-12	Millbrook High
920501	0K-05	Mills Park Elementary
920502	06-08	Mills Park Middle
920504	0K-05	Morrisville Elementary
920506	06-08	Moore Square Museum Magnet Middle
920508	0K-08	Mount Vernon
920512	06-08	North Garner Middle
920514	0K-05	North Forest Pines Drive Elementary
920516	0K-05	North Ridge Elementary
920520	0K-05	Northwoods Elementary
920522	0K-05	Oak Grove Elementary
920523	0K-05	Olive Chapel Elementary
920524	0K-05	Olds Elementary
920525	0K-05	Partnership Elementary
920526	09-12	Panther Creek High
920528	09-12	Phillips High
920530	0K-05	Penny Road Elementary
920531	0K-05	Pleasant Union Elementary
920532	PK-05	Poe Elementary
920536	0K-05	Powell Elementary
920540	0K-05	Rand Road Elementary
920542	0K-05	Reedy Creek Elementary
920543	0K-05	Richland Creek ES
920544	PK-05	Rolesville Elementary
920545	06-07	Rolesville Middle
920548	0K-05	Root Elementary
920550	0K-05	Salem Elementary
920551	06-08	Salem Middle
920552	09-12	Sanderson High
920554	0K-05	Sanford Creek Elementary
920560	PK-05	Smith Elementary
920562	09-12	Southeast Raleigh High
920564	0K-05	Stough Elementary
920568	0K-05	Swift Creek Elementary
920569	0K-05	Sycamore Creek Elementary
920570	0K-05	Timber Drive Elementary
920571	0K-05	Turner Creek Elementary
920572	0K-05	Underwood Elementary
920576	0K-05	Vance Elementary
920580	0K-05	Vandora Springs Elementary
920582	09-10	Wake NCSU STEM ECHS
920583	09-13	Wake Early College of Health and Science
920584	0K-05	Wake Forest Elementary
920585	06-09	Wake Young Men's Leadership Academy
920586	06-09	Wake Young Women's Leadership Academy
920588	09-12	Wake Forest-Rolesville High
