school_code	grade_span	school_name
180342	07-08	Jacobs Fork Middle
180343	0K-06	Lyle Creek Elementary
180344	0K-06	Maiden Elementary
180346	07-08	Maiden Middle School
180348	09-12	Maiden High
180352	07-08	Mill Creek Middle
180356	PK-06	Mountain View Elementary
180360	PK-06	Oxford Elementary
180364	07-08	River Bend Middle
180368	0K-06	Sherrills Ford Elementary
180372	0K-06	Saint Stephens Elementary
180376	09-12	Saint Stephens High
180379	0K-06	Snow Creek Elementary
180380	PK-06	Startown Elementary
180388	PK-06	Webb A Murray Elementary
180LEA		Catawba County Schools
181312	06-08	Northview Middle
181316	06-08	Grandview Middle
181318	06-12	Hickory Career & Arts Magnet High School
181322	09-12	Hickory High
181326	PK-05	W M Jenkins Elementary
181332	PK-05	Longview Elementary
181336	PK-05	Oakwood Elementary
181342	PK-05	Southwest Elementary
181344	PK-05	Viewmont Elementary
181LEA		Hickory City Schools
182304	PK-13	Conover Special Education
182316	09-12	Newton-Conover High
182321	06-08	Newton-Conover Middle
182322	PK-05	Shuford Elementary
182324	PK-05	South Newton Elementary
182328	PK-05	Thornton Elementary
182700	09-12	Discovery High School
182LEA		Newton Conover City Schools
190304	PK-08	Bennett Elementary
190308	0K-08	Bonlee Elementary
190310	09-12	SAGE Academy
190312	06-08	Chatham Middle
190316	09-12	Chatham Central High
190328	05-08	Horton Middle
190332	0K-08	J S Waters Elementary
190336	09-12	Jordan Matthews High
190339	06-08	Margaret B. Pollard Middle
190340	PK-08	Moncure Elementary
190341	PK-05	North Chatham Elementary
190342	09-12	Northwood High
190346	PK-05	Perry W Harrison Elementary
190348	PK-04	Pittsboro Elementary
190350	PK-05	Siler City Elementary
190352	PK-08	Silk Hope Elementary
190370	PK-05	Virginia Cross Elementary
190LEA		Chatham County Schools
19A000	0K-08	Chatham Charter
19B000	0K-12	Woods Charter
200304	PK-05	Andrews Elementary
200308	09-12	Andrews High
200310	06-08	Andrews Middle
200312	PK-08	Hiwassee Dam Elementary/Middle
200314	09-12	Hiwassee Dam High
200316	PK-05	Marble Elementary
200320	PK-08	Martins Creek Elementary/Mid
200322	06-12	Mountain Youth School
200324	PK-05	Murphy Elementary
200328	09-12	Murphy High
200330	06-08	Murphy Middle
200332	PK-05	Peachtree Elementary
200336	PK-08	Ranger Elementary/Middle
200350	09-13	Tri-County Early College High
200LEA		Cherokee County Schools
20A000	0K-08	The Learning Center
210304	06-08	Chowan Middle
210306	03-05	D F Walker Elementary
210312	09-12	John A Holmes High
210LEA		Edenton-Chowan Schools
220308	PK-04	Hayesville Elementary
220310	09-12	Hayesville High
220312	05-08	Hayesville Middle
220LEA		Clay County Schools
230304	PK-04	Bethware Elementary
230308	PK-05	Boiling Springs Elementary
230312	09-12	Burns High
230316	06-08	Burns Middle
230320	PK-05	Casar Elementary
230322	09-13	Cleveland ECHS
230324	09-12	Crest High
230328	06-08	Crest Middle
230330	06-12	Turning Point Academy
230334	PK-04	East Elementary
230336	05-06	Shelby Intermediate
230340	PK-05	Fallston Elementary
230342	PK-04	Graham Elementary
230344	PK-04	Grover Elementary
230346	PK-04	James Love Elementary
230348	PK-04	Jefferson Elementary
230350	09-12	Kings Mountain High
230351	05-06	Kings Mountain Intermediate
230352	07-08	Kings Mountain Middle
230355	PK-04	Marion Elementary
230357	PK-04	North Elementary
230359	PK-12	North Shelby
230361	09-12	Shelby High
230362	07-08	Shelby Middle
230364	PK-05	Springmore Elementary
230368	PK-05	Township Three Elementary
230370	PK-05	Union Elementary
230376	PK-05	Washington Elementary
230380	PK-04	West Elementary
230LEA		Cleveland County Schools
240304	06-08	Acme Delco Middle
240308	PK-05	Acme Delco Elementary
240318	06-12	Boys and Girls Homes
240328	PK-08	Cerro Gordo Elementary
240330	06-08	Chadbourn Middle
240332	PK-05	Chadbourn Elementary
240334	09-12	East Columbus High
240344	PK-08	Evergreen Elementary
240352	PK-05	Guideway Elementary
240354	PK-05	Hallsboro-Artesia Elementary
240356	06-08	Hallsboro Middle
240368	06-08	Nakina Middle
240370	PK-05	Old Dock Elementary
240371	09-12	South Columbus High
240372	PK-05	Tabor City Elementary
240373	09-12	CCCA - Southeastern Campus
240376	06-08	Tabor City Middle
240380	09-12	West Columbus High
240388	PK-08	Williams Township
240LEA		Columbus County Schools
241304	06-08	Central Middle
241308	03-05	Edgewood Elementary
241312	03-12	North Whiteville Academy
241316	09-12	Whiteville High
241LEA		Whiteville City Schools
24N000	0K-07	Columbus Charter School
250304	0K-05	Albert H Bangert Elementary
250306	PK-05	Ben D Quinn Elementary
250308	0K-05	Bridgeton Elementary
250312	0K-05	Brinson Memorial Elementary
250314	09-13	Craven Early College High
250316	0K-05	Creekside Elementary
250320	PK-05	Vanceboro-Farm Life Elementary
250321	09-13	Early College EAST High
250324	06-08	Grover C Fields Middle
250328	PK-05	Graham A Barden Elementary
250332	06-08	H J MacDonald Middle
250336	0K-05	Havelock Elementary
250340	09-12	Havelock High
250344	06-08	Havelock Middle
250348	PK-05	J T Barber Elementary
250350	PK-05	James W Smith Elementary
250356	09-12	New Bern High
250360	0K-05	Oaks Road Elementary
250362	0K-05	Roger R Bell Elementary
250364	0K-05	Trent Park Elementary
250368	06-08	Tucker Creek Middle
250372	09-12	West Craven High
250376	06-08	West Craven Middle
250378	0K-05	W Jesse Gurganus Elementary
250380	0K-05	Arthur W Edwards Elementary
250LEA		Craven County Schools
260306	PK-05	Armstrong Elementary
260308	03-05	Ashley Elementary
260310	PK-05	Loyd E Auman Elementary
260312	PK-05	Beaver Dam Elementary
260316	0K-05	Lillian Black Elementary
260318	09-12	Jack Britt High
260320	PK-05	Brentwood Elementary
260321	06-08	Douglas Byrd Middle
260322	09-12	Douglas Byrd High
260325	09-12	Cape Fear High
