37125,North Carolina,Moore County,90302,43233,47069,36172,38601,33637,36342,69979,20323,No,22.51%,12127,13%,5477,6.07%
37127,North Carolina,Nash County,95708,46303,49405,27349,28119,24692,25872,50564,45144,No,47.17%,36796,38%,6177,6.45%
37129,North Carolina,New Hanover County,209234,101023,108211,82767,87567,77747,83226,160973,48261,No,23.07%,30593,15%,11260,5.38%
37131,North Carolina,Northampton County,21428,10386,11042,4290,4257,4146,4175,8321,13107,Yes,61.17%,12492,58%,363,1.69%
37133,North Carolina,Onslow County,183263,98871,84392,76679,63706,67215,56715,123930,59333,No,32.38%,29764,16%,20422,11.14%
37135,North Carolina,Orange County,137941,65858,72083,51318,55399,46144,50848,96992,40949,No,29.69%,16780,12%,11368,8.24%
37137,North Carolina,Pamlico County,13074,6686,6388,5093,5006,4883,4856,9739,3335,No,25.51%,2655,20%,430,3.29%
37139,North Carolina,Pasquotank County,40591,19905,20686,11728,11865,11031,11201,22232,18359,No,45.23%,15423,38%,1767,4.35%
37141,North Carolina,Pender County,54195,27073,27122,21527,21303,19935,20105,40040,14155,No,26.12%,9605,18%,3350,6.18%
37143,North Carolina,Perquimans County,13563,6526,7037,4819,5068,4711,4960,9671,3892,No,28.70%,3375,25%,288,2.12%
37145,North Carolina,Person County,39268,19101,20167,13591,14028,12770,13434,26204,13064,No,33.27%,10638,27%,1640,4.18%
37147,North Carolina,Pitt County,172554,81418,91136,50936,54627,46852,50995,97847,74707,No,43.29%,59765,35%,9883,5.73%
37149,North Carolina,Polk County,20271,9722,10549,9056,9835,8492,9378,17870,2401,No,11.84%,912,4%,1161,5.73%
37151,North Carolina,Randolph County,142466,70330,72136,63508,65162,56457,58839,115296,27170,No,19.07%,8673,6%,15199,10.67%
37153,North Carolina,Richmond County,46627,22936,23691,14469,14809,13199,13864,27063,19564,No,41.96%,14523,31%,2936,6.30%
37155,North Carolina,Robeson County,135496,65835,69661,22046,22368,17667,18892,36559,98937,Yes,73.02%,33527,25%,11057,8.16%
37157,North Carolina,Rockingham County,92720,44733,47987,35260,37297,32662,35194,67856,24864,No,26.82%,17609,19%,5293,5.71%
37159,North Carolina,Rowan County,138180,68159,70021,55003,56213,49945,51715,101660,36520,No,26.43%,22669,16%,10885,7.88%
37161,North Carolina,Rutherford County,67323,32507,34816,28445,30430,27270,29363,56633,10690,No,15.88%,6752,10%,2548,3.78%
37163,North Carolina,Sampson County,63949,31467,32482,21428,21531,16354,17352,33706,30243,No,47.29%,17443,27%,11193,17.50%
37165,North Carolina,Scotland County,36094,17676,18418,8224,8664,7905,8422,16327,19767,Yes,54.77%,14026,39%,901,2.50%
37167,North Carolina,Stanly County,60576,30215,30361,25630,25949,24562,25127,49689,10887,No,17.97%,6760,11%,2270,3.75%
37169,North Carolina,Stokes County,46783,22814,23969,21400,22552,20806,22030,42836,3947,No,8.44%,1974,4%,1258,2.69%
37171,North Carolina,Surry County,73561,35881,37680,33574,35317,30026,32250,62276,11285,No,15.34%,2969,4%,7358,10.00%
37173,North Carolina,Swain County,14141,6874,7267,4584,4812,4417,4685,9102,5039,No,35.63%,143,1%,617,4.36%
37175,North Carolina,Transylvania County,32849,15827,17022,14755,15977,14229,15575,29804,3045,No,9.27%,1310,4%,1003,3.05%
37177,North Carolina,Tyrrell County,4338,2397,1941,1288,1237,1189,1097,2286,2052,No,47.30%,1632,38%,319,7.35%
37179,North Carolina,Union County,208520,102906,105614,86413,88106,75845,78502,154347,54173,No,25.98%,25171,12%,22580,10.83%
37181,North Carolina,Vance County,45132,21119,24013,10136,10974,8877,9836,18713,26419,Yes,58.54%,22852,51%,3180,7.05%
37183,North Carolina,Wake County,952151,463765,488386,327957,334950,287724,298475,586199,365952,No,38.43%,203809,21%,95011,9.98%
37185,North Carolina,Warren County,20576,10477,10099,4318,3993,4019,3802,7821,12755,Yes,61.99%,10742,52%,750,3.65%
37187,North Carolina,Washington County,12736,5997,6739,2929,3166,2751,3020,5771,6965,Yes,54.69%,6333,50%,498,3.91%
37189,North Carolina,Watauga County,51871,25963,25908,24739,24744,23877,24027,47904,3967,No,7.65%,923,2%,1780,3.43%
37191,North Carolina,Wayne County,124246,61080,63166,39895,39389,34058,34394,68452,55794,No,44.91%,39823,32%,12878,10.36%
37193,North Carolina,Wilkes County,69306,34191,35115,31886,32992,29970,31353,61323,7983,No,11.52%,3027,4%,3954,5.71%
37195,North Carolina,Wilson County,81867,38969,42898,22971,24116,19208,20985,40193,41674,Yes,50.90%,32435,40%,7995,9.77%
37197,North Carolina,Yadkin County,38084,18777,19307,17762,18271,15886,16595,32481,5603,No,14.71%,1294,3%,3902,10.25%
37199,North Carolina,Yancey County,17630,8654,8976,8362,8716,8009,8425,16434,1196,No,6.78%,183,1%,815,4.62%
